trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,31.15828530001454,31.15828530001454,0.07351649994961917,[-0.05078125],[-0.3567708333333333],[1],[0],[0],[1.9613226000219584],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
1,0,1,0,10,33.171816000016406,33.171816000016406,0.047847500012721866,[-0.375],[-0.3684895833333333],[1],[0],[0],[1.8867025999934413],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
2,0,2,0,10,35.09971999999834,35.09971999999834,0.04043480003019795,[0.12109375],[0.2565104166666667],[1],[0],[0],[1.856994800036773],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
3,0,3,0,10,37.02818429999752,37.02818429999752,0.06254810001701117,[-0.4921875],[0.14713541666666666],[1],[0],[0],[1.9220248000347055],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
4,0,4,0,5,38.972314000013284,38.972314000013284,0.024889899999834597,[-0.1484375],[-0.026041666666666668],[1],[0],[0],[1.1334452000446618],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
5,0,5,0,5,40.1343332999968,40.1343332999968,0.025179299991577864,[-0.24609375],[-0.3098958333333333],[1],[0],[0],[1.5376884000143036],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
6,0,6,0,5,41.69902490003733,41.69902490003733,0.021377099968958646,[-0.04296875],[0.11328125],[1],[0],[0],[1.1573079999652691],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
7,0,7,0,5,42.88172930001747,42.88172930001747,0.02121090004220605,[0.41796875],[0.19270833333333334],[1],[0],[0],[1.8078753000008874],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
8,0,8,0,10,44.74059900001157,44.74059900001157,0.04007300001103431,[0.4817708333333333],[-0.34765625],[1],[0],[0],[1.574698599986732],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
9,0,9,0,5,46.3339686000254,46.3339686000254,0.02068780001718551,[0.12369791666666667],[-0.4127604166666667],[1],[0],[0],[1.6897650000173599],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
10,0,10,0,5,48.048017300025094,48.048017300025094,0.020749399962369353,[-0.15885416666666666],[-0.03125],[1],[0],[0],[1.2082432999741286],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
11,0,11,0,10,49.306101499998476,49.306101499998476,0.03924319997895509,[-0.044270833333333336],[-0.3138020833333333],[1],[0],[0],[1.533067399985157],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
12,0,12,0,10,50.884121700015385,50.884121700015385,0.039795199991203845,[0.40625],[0.3294270833333333],[1],[0],[0],[1.6929078999673948],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
13,0,13,0,5,52.595235100016,52.595235100016,0.021185899968259037,[0.4036458333333333],[-0.15885416666666666],[1],[0],[0],[1.4280568999820389],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
14,0,14,0,5,54.0486460000393,54.0486460000393,0.020722499990370125,[-0.2630208333333333],[0.09114583333333333],[1],[0],[0],[1.9919519000104629],['target'],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
15,0,15,0,5,56.06416360003641,56.06416360003641,0.020488800015300512,[-0.2630208333333333],[0.09114583333333333],[1],[0],[0],[0.625859199964907],[],068241,001,2022-09-28_16h20.54.415,Tutorial 3 visual search experiment,2022.2.2,60.270300223792695,
