3.1657 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.4950 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
22.4312 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002195FB3AD00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000219A31C52B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.4315 	EXP 	window1: mouseVisible = True
22.4318 	EXP 	window1: mouseVisible = False
22.4319 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
22.4320 	EXP 	window1: recordFrameIntervals = False
22.5969 	EXP 	window1: recordFrameIntervals = True
22.7804 	EXP 	Screen (0) actual frame rate measured at 60.01Hz
22.7805 	EXP 	window1: recordFrameIntervals = False
26.0610 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
26.0707 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
26.0839 	EXP 	Imported AHMEDABAD UNIVERSITY/PSY310 Lab in Psychology/conditions3.xlsx as conditions, 1 conditions, 5 params
26.6103 	EXP 	window1: recordFrameIntervals = False
26.6163 	EXP 	window1: recordFrameIntervals = False
27.6132 	EXP 	fixation: autoDraw = True
28.0784 	EXP 	grating: autoDraw = True
28.0784 	EXP 	grating: tex = 'sin'
28.3786 	EXP 	grating: autoDraw = False
28.4309 	EXP 	window1: recordFrameIntervals = False
28.4321 	DATA 	Keypress: right
28.4451 	EXP 	fixation: autoDraw = False
28.4451 	EXP 	grating: autoDraw = False
28.4453 	EXP 	window1: recordFrameIntervals = False
29.4288 	EXP 	fixation: autoDraw = True
30.4286 	EXP 	fixation: autoDraw = False
30.4449 	EXP 	grating: autoDraw = True
30.4449 	EXP 	grating: tex = 'sin'
30.7453 	EXP 	grating: autoDraw = False
30.8145 	EXP 	window1: recordFrameIntervals = False
30.8156 	DATA 	Keypress: right
30.8290 	EXP 	fixation: autoDraw = False
30.8290 	EXP 	grating: autoDraw = False
30.8292 	EXP 	window1: recordFrameIntervals = False
31.8126 	EXP 	fixation: autoDraw = True
32.8123 	EXP 	fixation: autoDraw = False
32.8287 	EXP 	grating: autoDraw = True
32.8287 	EXP 	grating: tex = 'sin'
33.1287 	EXP 	grating: autoDraw = False
33.2641 	EXP 	window1: recordFrameIntervals = False
33.2651 	DATA 	Keypress: right
33.2789 	EXP 	fixation: autoDraw = False
33.2789 	EXP 	grating: autoDraw = False
33.2792 	EXP 	window1: recordFrameIntervals = False
34.2630 	EXP 	fixation: autoDraw = True
35.2622 	EXP 	fixation: autoDraw = False
35.2789 	EXP 	grating: autoDraw = True
35.2789 	EXP 	grating: tex = 'sin'
35.5788 	EXP 	grating: autoDraw = False
35.6989 	EXP 	window1: recordFrameIntervals = False
35.7002 	DATA 	Keypress: right
35.7130 	EXP 	fixation: autoDraw = False
35.7130 	EXP 	grating: autoDraw = False
35.7133 	EXP 	window1: recordFrameIntervals = False
36.6965 	EXP 	fixation: autoDraw = True
37.7122 	EXP 	fixation: autoDraw = False
37.7122 	EXP 	grating: autoDraw = True
37.7122 	EXP 	grating: tex = 'sin'
38.0119 	EXP 	grating: autoDraw = False
38.1140 	EXP 	window1: recordFrameIntervals = False
38.1150 	DATA 	Keypress: right
38.1291 	EXP 	fixation: autoDraw = False
38.1291 	EXP 	grating: autoDraw = False
38.1293 	EXP 	window1: recordFrameIntervals = False
39.1129 	EXP 	fixation: autoDraw = True
40.1129 	EXP 	fixation: autoDraw = False
40.1129 	EXP 	grating: autoDraw = True
40.1129 	EXP 	grating: tex = 'sin'
40.4123 	EXP 	grating: autoDraw = False
40.4978 	EXP 	window1: recordFrameIntervals = False
40.4987 	DATA 	Keypress: left
40.5124 	EXP 	fixation: autoDraw = False
40.5124 	EXP 	grating: autoDraw = False
40.5126 	EXP 	window1: recordFrameIntervals = False
41.4973 	EXP 	fixation: autoDraw = True
42.5125 	EXP 	fixation: autoDraw = False
42.5125 	EXP 	grating: autoDraw = True
42.5125 	EXP 	grating: tex = 'sin'
42.8123 	EXP 	grating: autoDraw = False
42.8312 	EXP 	window1: recordFrameIntervals = False
42.8322 	DATA 	Keypress: right
42.8456 	EXP 	fixation: autoDraw = False
42.8456 	EXP 	grating: autoDraw = False
42.8458 	EXP 	window1: recordFrameIntervals = False
43.8298 	EXP 	fixation: autoDraw = True
44.8291 	EXP 	fixation: autoDraw = False
44.8460 	EXP 	grating: autoDraw = True
44.8460 	EXP 	grating: tex = 'sin'
45.1459 	EXP 	grating: autoDraw = False
45.2481 	EXP 	window1: recordFrameIntervals = False
45.2492 	DATA 	Keypress: right
45.2622 	EXP 	fixation: autoDraw = False
45.2622 	EXP 	grating: autoDraw = False
45.2625 	EXP 	window1: recordFrameIntervals = False
46.2464 	EXP 	fixation: autoDraw = True
47.2459 	EXP 	fixation: autoDraw = False
47.2628 	EXP 	grating: autoDraw = True
47.2628 	EXP 	grating: tex = 'sin'
47.5621 	EXP 	grating: autoDraw = False
47.6647 	EXP 	window1: recordFrameIntervals = False
47.6658 	DATA 	Keypress: right
47.6794 	EXP 	fixation: autoDraw = False
47.6794 	EXP 	grating: autoDraw = False
47.6796 	EXP 	window1: recordFrameIntervals = False
48.6622 	EXP 	fixation: autoDraw = True
49.6623 	EXP 	fixation: autoDraw = False
49.6792 	EXP 	grating: autoDraw = True
49.6792 	EXP 	grating: tex = 'sin'
49.9792 	EXP 	grating: autoDraw = False
50.0482 	EXP 	window1: recordFrameIntervals = False
50.0492 	DATA 	Keypress: right
50.0625 	EXP 	fixation: autoDraw = False
50.0625 	EXP 	grating: autoDraw = False
50.0627 	EXP 	window1: recordFrameIntervals = False
51.0465 	EXP 	fixation: autoDraw = True
52.0459 	EXP 	fixation: autoDraw = False
52.0629 	EXP 	grating: autoDraw = True
52.0629 	EXP 	grating: tex = 'sin'
52.3626 	EXP 	grating: autoDraw = False
52.4477 	EXP 	window1: recordFrameIntervals = False
52.4490 	DATA 	Keypress: right
52.4626 	EXP 	fixation: autoDraw = False
52.4626 	EXP 	grating: autoDraw = False
52.4628 	EXP 	window1: recordFrameIntervals = False
53.4464 	EXP 	fixation: autoDraw = True
54.4460 	EXP 	fixation: autoDraw = False
54.4625 	EXP 	grating: autoDraw = True
54.4625 	EXP 	grating: tex = 'sin'
54.7623 	EXP 	grating: autoDraw = False
54.8812 	EXP 	window1: recordFrameIntervals = False
54.8820 	DATA 	Keypress: right
54.8961 	EXP 	fixation: autoDraw = False
54.8961 	EXP 	grating: autoDraw = False
54.8963 	EXP 	window1: recordFrameIntervals = False
55.8805 	EXP 	fixation: autoDraw = True
56.8962 	EXP 	fixation: autoDraw = False
56.8962 	EXP 	grating: autoDraw = True
56.8962 	EXP 	grating: tex = 'sin'
57.1955 	EXP 	grating: autoDraw = False
57.2814 	EXP 	window1: recordFrameIntervals = False
57.2824 	DATA 	Keypress: left
57.2960 	EXP 	fixation: autoDraw = False
57.2960 	EXP 	grating: autoDraw = False
57.2962 	EXP 	window1: recordFrameIntervals = False
58.2794 	EXP 	fixation: autoDraw = True
59.2794 	EXP 	fixation: autoDraw = False
59.2965 	EXP 	grating: autoDraw = True
59.2965 	EXP 	grating: tex = 'sin'
59.5960 	EXP 	grating: autoDraw = False
59.6982 	EXP 	window1: recordFrameIntervals = False
59.6993 	DATA 	Keypress: left
59.7129 	EXP 	fixation: autoDraw = False
59.7129 	EXP 	grating: autoDraw = False
59.7131 	EXP 	window1: recordFrameIntervals = False
60.6965 	EXP 	fixation: autoDraw = True
61.6961 	EXP 	fixation: autoDraw = False
61.7128 	EXP 	grating: autoDraw = True
61.7128 	EXP 	grating: tex = 'sin'
62.0127 	EXP 	grating: autoDraw = False
67.7478 	EXP 	window1: recordFrameIntervals = False
67.7489 	DATA 	Keypress: right
67.7627 	EXP 	fixation: autoDraw = False
67.7627 	EXP 	grating: autoDraw = False
67.7629 	EXP 	window1: recordFrameIntervals = False
68.7457 	EXP 	fixation: autoDraw = True
69.7465 	EXP 	fixation: autoDraw = False
69.7465 	EXP 	grating: autoDraw = True
69.7465 	EXP 	grating: tex = 'sin'
70.0467 	EXP 	grating: autoDraw = False
70.1147 	EXP 	window1: recordFrameIntervals = False
70.1157 	DATA 	Keypress: right
70.1293 	EXP 	fixation: autoDraw = False
70.1293 	EXP 	grating: autoDraw = False
70.1295 	EXP 	window1: recordFrameIntervals = False
71.1145 	EXP 	fixation: autoDraw = True
72.1132 	EXP 	grating: autoDraw = True
72.1132 	EXP 	grating: tex = 'sin'
72.1294 	EXP 	fixation: autoDraw = False
72.4128 	EXP 	grating: autoDraw = False
72.4316 	EXP 	window1: recordFrameIntervals = False
72.4326 	DATA 	Keypress: right
72.4461 	EXP 	fixation: autoDraw = False
72.4461 	EXP 	grating: autoDraw = False
72.4462 	EXP 	window1: recordFrameIntervals = False
73.4299 	EXP 	fixation: autoDraw = True
74.4298 	EXP 	fixation: autoDraw = False
74.4464 	EXP 	grating: autoDraw = True
74.4464 	EXP 	grating: tex = 'sin'
74.7463 	EXP 	grating: autoDraw = False
74.7486 	EXP 	window1: recordFrameIntervals = False
74.7499 	DATA 	Keypress: left
74.7631 	EXP 	fixation: autoDraw = False
74.7631 	EXP 	grating: autoDraw = False
74.7633 	EXP 	window1: recordFrameIntervals = False
75.7623 	EXP 	fixation: autoDraw = True
76.7472 	EXP 	grating: autoDraw = True
76.7472 	EXP 	grating: tex = 'sin'
76.7638 	EXP 	fixation: autoDraw = False
77.0469 	EXP 	grating: autoDraw = False
77.3328 	EXP 	window1: recordFrameIntervals = False
77.3341 	DATA 	Keypress: right
77.3469 	EXP 	fixation: autoDraw = False
77.3469 	EXP 	grating: autoDraw = False
77.3472 	EXP 	window1: recordFrameIntervals = False
78.3455 	EXP 	fixation: autoDraw = True
79.3464 	EXP 	fixation: autoDraw = False
79.3464 	EXP 	grating: autoDraw = True
79.3464 	EXP 	grating: tex = 'sin'
79.6466 	EXP 	grating: autoDraw = False
79.6985 	EXP 	window1: recordFrameIntervals = False
79.6997 	DATA 	Keypress: right
79.7131 	EXP 	fixation: autoDraw = False
79.7131 	EXP 	grating: autoDraw = False
79.7134 	EXP 	window1: recordFrameIntervals = False
80.6967 	EXP 	fixation: autoDraw = True
81.6972 	EXP 	fixation: autoDraw = False
81.6972 	EXP 	grating: autoDraw = True
