study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
perfume,,0,0,0,16,,,,,59.60388300009072,59.60388300009072,1.0052083333333333,2.6793484003283083,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
cushion,,0,1,1,3,,,,,62.174432000145316,62.174432000145316,1.0052083333333333,1.2219643997959793,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
animals ,,0,2,2,15,,,,,63.43598489975557,63.43598489975557,1.0052083333333333,1.6348609998822212,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
bed,,0,3,3,13,,,,,65.10220389999449,65.10220389999449,1.9895833333333333,1.4823167999275029,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
vase,,0,4,4,0,,,,,66.63985339971259,66.63985339971259,1.046875,2.6351550999097526,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
window,,0,5,5,7,,,,,69.31220339983702,69.31220339983702,1.046875,0.47249590000137687,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
mobile,,0,6,6,18,,,,,69.80599589971825,69.80599589971825,1.046875,0.5134632000699639,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
book,,0,7,7,2,,,,,70.34906020015478,70.34906020015478,3.0208333333333335,1.0183369000442326,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
door,,0,8,8,9,,,,,71.39468979975209,71.39468979975209,1.9947916666666667,0.6055390001274645,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
piano,,0,9,9,4,,,,,72.02643699990585,72.02643699990585,1,0.7095546000637114,,,,,,,,,,,,,,,,,100288,001,2022-10-19_11h53.21.658,Word Priming Experiment,2022.2.2,60.16640824425539,
