3.6247 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
10.9286 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
11.9218 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023DAEB8DD90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023E335F23A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.9220 	EXP 	window1: mouseVisible = True
11.9223 	EXP 	window1: mouseVisible = False
11.9224 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.9225 	EXP 	window1: recordFrameIntervals = False
12.0873 	EXP 	window1: recordFrameIntervals = True
12.1752 	WARNING 	t of last frame was 21.41ms (=1/46)
12.3543 	EXP 	Screen (0) actual frame rate measured at 60.32Hz
12.3544 	EXP 	window1: recordFrameIntervals = False
17.9239 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
17.9498 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
17.9554 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
17.9574 	EXP 	New trial (rep=0, index=0): None
17.9741 	EXP 	grating: ori = 0.0
17.9741 	EXP 	fixation: autoDraw = True
18.9529 	EXP 	grating: autoDraw = True
18.9529 	EXP 	grating: tex = 'sin'
18.9865 	EXP 	fixation: autoDraw = False
19.2529 	EXP 	grating: autoDraw = False
19.6632 	EXP 	New trial (rep=1, index=0): None
19.6709 	DATA 	Keypress: down
19.6778 	EXP 	fixation: autoDraw = False
19.6778 	EXP 	grating: autoDraw = False
19.6778 	EXP 	grating: ori = 0.0
19.6778 	EXP 	fixation: autoDraw = True
20.6688 	EXP 	grating: autoDraw = True
20.6853 	EXP 	fixation: autoDraw = False
20.9708 	EXP 	grating: autoDraw = False
21.2455 	EXP 	New trial (rep=2, index=0): None
21.2525 	DATA 	Keypress: down
21.2581 	EXP 	fixation: autoDraw = False
21.2581 	EXP 	grating: autoDraw = False
21.2581 	EXP 	grating: ori = 1.0
21.2581 	EXP 	fixation: autoDraw = True
22.2539 	EXP 	grating: autoDraw = True
22.2707 	EXP 	fixation: autoDraw = False
22.5531 	EXP 	grating: autoDraw = False
23.1256 	EXP 	New trial (rep=3, index=0): None
23.1290 	DATA 	Keypress: down
23.1370 	EXP 	fixation: autoDraw = False
23.1370 	EXP 	grating: autoDraw = False
23.1370 	EXP 	grating: ori = -4.0
23.1370 	EXP 	fixation: autoDraw = True
24.1374 	EXP 	fixation: autoDraw = False
24.1374 	EXP 	grating: autoDraw = True
24.4373 	EXP 	grating: autoDraw = False
24.6449 	EXP 	New trial (rep=4, index=0): None
24.6519 	DATA 	Keypress: down
24.6576 	EXP 	fixation: autoDraw = False
24.6576 	EXP 	grating: autoDraw = False
24.6576 	EXP 	grating: ori = 0.0
24.6576 	EXP 	fixation: autoDraw = True
25.6538 	EXP 	grating: autoDraw = True
25.6711 	EXP 	fixation: autoDraw = False
25.9542 	EXP 	grating: autoDraw = False
26.1523 	EXP 	New trial (rep=5, index=0): None
26.1576 	DATA 	Keypress: up
26.1639 	EXP 	fixation: autoDraw = False
26.1639 	EXP 	grating: autoDraw = False
26.1639 	EXP 	grating: ori = -2.0
26.1639 	EXP 	fixation: autoDraw = True
27.1541 	EXP 	grating: autoDraw = True
27.1708 	EXP 	fixation: autoDraw = False
27.4706 	EXP 	grating: autoDraw = False
27.6123 	EXP 	New trial (rep=6, index=0): None
27.6191 	DATA 	Keypress: up
27.6248 	EXP 	fixation: autoDraw = False
27.6248 	EXP 	grating: autoDraw = False
27.6248 	EXP 	grating: ori = 0.0
27.6248 	EXP 	fixation: autoDraw = True
28.6208 	EXP 	grating: autoDraw = True
28.6378 	EXP 	fixation: autoDraw = False
28.9210 	EXP 	grating: autoDraw = False
29.0456 	EXP 	New trial (rep=7, index=0): None
29.0521 	DATA 	Keypress: down
29.0578 	EXP 	fixation: autoDraw = False
29.0578 	EXP 	grating: autoDraw = False
29.0578 	EXP 	grating: ori = 3.0
29.0578 	EXP 	fixation: autoDraw = True
30.0533 	EXP 	grating: autoDraw = True
30.0697 	EXP 	fixation: autoDraw = False
30.3533 	EXP 	grating: autoDraw = False
31.2224 	DATA 	Keypress: escape
31.9279 	EXP 	window1: mouseVisible = True
